capacity	E/V
0.000004	0.58589
0.000004	0.44668
0.221795	0.17817
0.443589	0.12676
0.665384	0.09288
0.887179	0.06078
1.109340	0.03215
1.331135	0.00971
1.553297	-0.00802
1.775459	-0.02115
2.220517	-0.03937
2.665208	-0.05097
5.332251	-0.08645
8.000029	-0.10301
10.665604	-0.115
13.333382	-0.12453
15.998223	-0.13168
18.665266	-0.13829
21.331576	-0.14358
23.992744	-0.14839
26.656850	-0.15253
29.325730	-0.15565
31.995344	-0.15811
34.662755	-0.16073
37.327962	-0.16277
39.993904	-0.16477
42.663151	-0.16672
45.329828	-0.16909
47.994668	-0.17106
50.660610	-0.17406
53.329857	-0.17719
55.999104	-0.18103
58.668718	-0.18599
61.334293	-0.19147
64.001704	-0.19749
66.670216	-0.20528
69.340198	-0.2138
72.006140	-0.22442
74.676121	-0.23649
77.347938	-0.25081
80.021959	-0.26901
82.697816	-0.29197
85.367430	-0.32287
88.038146	-0.36258
90.708862	-0.41494
93.381413	-0.47507
95.939763	-0.53196
98.720642	-0.59176
99.941981	-0.59733
100.000000	-0.59987
100.000000	-0.60008
